satisfaction_level,last_evaluation,number_project,average_monthly_hours,left,cluster,Emp_Id
0.36,0.48,2,137,1,1,IND06225
0.4,0.46,2,128,1,1,IND35004
0.87,0.84,5,231,1,0,IND25762
0.41,0.49,2,146,1,1,IND23892
0.11,0.91,6,308,1,2,IND31584
0.1,0.93,6,253,1,2,IND43337
0.38,0.51,2,146,1,1,IND12691
0.39,0.55,2,156,1,1,IND15509
0.4,0.52,2,147,1,1,IND24340
0.45,0.48,2,136,1,1,IND32788
0.74,0.84,5,249,1,0,IND03425
0.45,0.55,2,151,1,1,IND05837
0.12,1.0,3,278,1,2,IND35722
0.1,0.77,7,250,1,2,IND23749
0.37,0.55,2,127,1,1,IND048
0.89,0.87,5,255,1,0,IND04733
0.45,0.47,2,135,1,1,IND17963
0.37,0.46,2,149,1,1,IND02462
0.11,0.81,5,287,1,2,IND25050
0.41,0.48,2,145,1,1,IND33895
0.1,0.94,6,285,1,2,IND36409
0.1,0.93,7,305,1,2,IND38328
0.11,0.95,7,300,1,2,IND05005
0.4,0.54,2,139,1,1,IND05284
0.41,0.49,2,130,1,1,IND31191
0.1,0.81,6,268,1,2,IND0636
0.73,0.86,4,245,1,0,IND09913
0.43,0.47,2,135,1,1,IND45004
0.37,0.46,2,153,1,1,IND21604
0.11,0.94,6,276,1,2,IND17722
0.4,0.46,2,130,1,1,IND35333
0.41,0.54,2,153,1,1,IND36557
0.82,0.84,5,244,1,0,IND21834
0.61,0.47,2,253,1,1,IND41907
0.11,0.91,7,287,1,2,IND31120
0.37,0.45,2,131,1,1,IND01918
0.41,0.52,2,135,1,1,IND20772
0.37,0.52,2,157,1,1,IND08699
0.88,0.99,5,262,1,0,IND31644
0.1,0.85,6,266,1,2,IND37098
0.44,0.48,2,148,1,1,IND35544
0.38,0.57,2,140,1,1,IND18627
0.11,0.85,7,302,1,2,IND30769
0.09,0.98,6,271,1,2,IND33187
0.45,0.52,2,145,1,1,IND07254
0.1,0.81,6,290,1,2,IND29466
0.45,0.47,2,151,1,1,IND36017
0.77,0.87,5,266,1,0,IND43579
0.44,0.51,2,140,1,1,IND43393
0.39,0.5,2,142,1,1,IND02895
0.1,0.91,6,246,1,2,IND04984
0.09,0.89,7,308,1,2,IND11607
0.37,0.47,2,141,1,1,IND41347
0.9,1.0,5,232,1,0,IND02676
0.41,0.56,2,143,1,1,IND04698
0.37,0.52,2,155,1,1,IND20375
0.1,0.86,6,278,1,2,IND37284
0.81,1.0,4,253,1,0,IND23482
0.11,0.8,6,282,1,2,IND39285
0.11,0.84,7,264,1,2,IND04237
0.4,0.46,2,149,1,1,IND01864
0.09,0.8,6,304,1,2,IND02500
0.48,0.93,3,219,1,0,IND29143
0.91,0.91,4,262,1,0,IND20937
0.43,0.57,2,135,1,1,IND05507
0.33,0.88,6,219,1,2,IND01
0.41,0.57,2,136,1,1,IND20035
0.41,0.55,2,154,1,1,IND06084
0.37,0.54,2,149,1,1,IND24666
0.31,0.62,6,135,1,2,IND25893
0.09,0.91,6,275,1,2,IND31280
0.1,0.87,6,290,1,2,IND41323
0.76,0.9,4,263,1,0,IND19003
0.41,0.54,2,145,1,1,IND09805
0.72,0.96,5,267,1,0,IND27257
0.4,0.5,2,141,1,1,IND03850
0.91,0.87,4,235,1,0,IND26902
0.1,0.83,6,258,1,2,IND24156
0.4,0.56,2,131,1,1,IND37061
0.82,0.86,5,243,1,0,IND38588
0.1,0.82,6,266,1,2,IND03063
0.37,0.45,2,142,1,1,IND13975
0.36,0.51,2,135,1,1,IND40823
0.39,0.48,2,141,1,1,IND01469
0.36,0.57,2,142,1,1,IND01656
0.86,0.84,5,254,1,0,IND12465
0.73,0.99,5,262,1,0,IND16382
0.56,0.71,4,296,1,0,IND17796
0.44,0.56,2,158,1,1,IND32278
0.31,0.56,4,238,1,1,IND34555
0.77,0.93,4,231,1,0,IND22783
0.44,0.45,2,156,1,1,IND0583
0.38,0.46,2,145,1,1,IND26226
0.45,0.48,2,144,1,1,IND37137
0.38,0.51,2,159,1,1,IND13629
0.36,0.48,2,156,1,1,IND31613
0.75,0.9,5,256,1,0,IND38501
0.1,0.93,6,298,1,2,IND01958
0.1,0.97,6,247,1,2,IND10086
0.45,0.5,2,157,1,1,IND24010
0.42,0.57,2,154,1,1,IND27604
0.78,1.0,4,253,1,0,IND27827
0.45,0.55,2,148,1,1,IND42944
0.84,1.0,4,261,1,0,IND31899
0.11,0.93,6,282,1,2,IND02723
0.42,0.56,2,133,1,1,IND10009
0.45,0.46,2,128,1,1,IND05076
0.46,0.57,2,139,1,1,IND44741
0.09,0.79,6,293,1,2,IND10776
0.87,0.83,4,265,1,0,IND36436
0.1,0.87,6,250,1,2,IND41623
0.91,1.0,5,251,1,0,IND25674
0.76,0.92,4,246,1,0,IND01773
0.74,1.0,5,275,1,0,IND03668
0.92,0.93,5,240,1,0,IND34514
0.76,0.87,5,245,1,0,IND44563
0.47,0.5,4,254,1,1,IND05806
0.73,0.99,5,241,1,0,IND36010
0.09,0.94,6,257,1,2,IND06087
0.91,0.92,4,246,1,0,IND37459
0.82,0.98,4,233,1,0,IND22464
0.28,0.45,6,218,1,2,IND41760
0.84,0.99,4,262,1,0,IND37034
0.45,0.53,2,138,1,1,IND18121
0.45,0.54,2,142,1,1,IND33996
0.91,0.97,5,233,1,0,IND0350
0.42,0.48,2,155,1,1,IND35777
0.82,1.0,4,229,1,0,IND21927
0.11,0.9,6,264,1,2,IND36809
0.42,0.53,3,199,1,1,IND09677
0.82,0.85,4,223,1,0,IND08739
0.09,0.96,6,268,1,2,IND15989
0.1,0.94,6,287,1,2,IND38180
0.86,1.0,5,257,1,0,IND42344
0.4,0.46,2,143,1,1,IND08064
0.45,0.46,2,130,1,1,IND37269
0.42,0.51,2,136,1,1,IND42385
0.74,0.92,4,261,1,0,IND05142
0.55,0.6,3,180,1,1,IND36170
0.37,0.45,2,126,1,1,IND36678
0.41,0.52,2,127,1,1,IND05300
0.89,0.65,5,195,1,0,IND36918
0.41,0.57,2,160,1,1,IND15685
0.44,0.51,2,150,1,1,IND18291
0.87,0.84,4,264,1,0,IND39292
0.1,0.84,6,309,1,2,IND16653
0.41,0.47,2,135,1,1,IND23120
0.11,0.85,6,261,1,2,IND30329
0.43,0.53,2,160,1,1,IND02012
0.77,0.9,4,237,1,0,IND14328
0.41,0.52,2,136,1,1,IND19845
0.41,0.48,2,139,1,1,IND27485
0.36,0.78,2,151,1,1,IND06978
0.77,1.0,5,229,1,0,IND20346
0.81,0.98,5,245,1,0,IND26050
0.39,0.54,2,127,1,1,IND12047
0.09,0.94,6,283,1,2,IND23467
0.44,0.46,2,143,1,1,IND05879
0.1,0.84,5,298,1,2,IND32980
0.36,0.48,2,159,1,1,IND04065
0.81,0.92,5,239,1,0,IND08523
0.81,0.9,4,226,1,0,IND18383
0.85,0.98,5,248,1,0,IND10597
0.1,0.87,6,286,1,2,IND21832
0.37,0.54,2,145,1,1,IND42704
0.09,0.97,7,254,1,2,IND24889
0.44,0.53,2,127,1,1,IND42455
0.86,0.93,5,223,1,0,IND13842
0.77,1.0,4,255,1,0,IND21827
0.41,0.48,2,136,1,1,IND33940
0.4,0.48,2,137,1,1,IND35104
0.43,0.49,2,135,1,1,IND12113
0.43,0.5,2,137,1,1,IND19427
0.8,0.53,3,255,1,0,IND37240
0.8,0.85,4,273,1,0,IND42009
0.82,0.98,5,234,1,0,IND05309
0.37,0.54,2,152,1,1,IND25359
0.37,0.48,2,134,1,1,IND06000
0.09,0.95,6,292,1,2,IND24351
0.9,0.92,5,245,1,0,IND07890
0.41,0.52,2,159,1,1,IND08028
0.1,0.85,6,260,1,2,IND24567
0.44,0.53,2,149,1,1,IND43807
0.89,0.85,5,266,1,0,IND17425
0.42,0.56,2,149,1,1,IND19288
0.87,1.0,5,242,1,0,IND17008
0.45,0.57,2,134,1,1,IND15254
0.11,0.87,5,271,1,2,IND10863
0.09,0.79,6,275,1,2,IND22262
0.76,0.83,5,227,1,0,IND34043
0.11,0.96,7,277,1,2,IND31522
0.37,0.49,2,151,1,1,IND24223
0.1,0.79,6,274,1,2,IND36904
0.77,0.87,4,242,1,0,IND10536
0.42,0.54,2,143,1,1,IND25101
0.38,0.52,2,145,1,1,IND17067
0.32,0.95,5,172,1,2,IND22772
0.38,0.49,2,135,1,1,IND23388
0.19,1.0,4,192,1,2,IND37431
0.1,0.83,7,276,1,2,IND38560
0.76,0.88,4,206,1,0,IND13288
0.53,0.56,4,281,1,0,IND32351
0.39,0.51,2,151,1,1,IND26529
0.11,0.83,6,244,1,2,IND01418
0.1,0.94,6,309,1,2,IND04738
0.84,1.0,5,218,1,0,IND40609
0.82,0.99,4,263,1,0,IND27440
0.1,0.82,6,244,1,2,IND05665
0.59,0.49,7,263,1,2,IND44483
0.44,0.48,2,143,1,1,IND01324
0.89,0.95,2,181,1,0,IND02691
0.91,0.84,5,265,1,0,IND30703
0.66,0.57,5,161,1,1,IND09106
0.11,0.87,7,282,1,2,IND05801
0.43,0.51,2,155,1,1,IND14500
0.78,0.83,4,217,1,0,IND33314
0.11,0.97,6,289,1,2,IND34692
0.83,0.98,4,259,1,0,IND35202
0.39,0.54,2,158,1,1,IND18498
0.38,0.55,2,158,1,1,IND37090
0.37,0.57,2,155,1,1,IND02881
0.44,0.48,2,146,1,1,IND08688
0.53,0.85,2,164,1,1,IND18973
0.09,0.96,6,259,1,2,IND37820
0.11,0.89,6,293,1,2,IND40754
0.83,0.96,5,275,1,0,IND36953
0.88,1.0,5,219,1,0,IND02938
0.1,0.89,6,247,1,2,IND27246
0.09,0.86,7,309,1,2,IND06039
0.44,0.54,2,151,1,1,IND19162
0.39,0.51,2,129,1,1,IND20583
0.87,0.94,4,274,1,0,IND03238
0.74,0.99,4,233,1,0,IND07968
0.1,0.95,7,289,1,2,IND22029
0.74,0.82,4,239,1,0,IND05649
0.75,0.99,5,221,1,0,IND11090
0.41,0.56,2,150,1,1,IND23958
0.41,0.45,2,144,1,1,IND27981
0.09,0.9,7,289,1,2,IND28838
0.09,0.8,6,301,1,2,IND20591
0.39,0.57,2,145,1,1,IND06641
0.4,0.56,2,137,1,1,IND30303
0.37,0.54,2,131,1,1,IND12568
0.1,0.84,6,246,1,2,IND09205
0.43,0.51,2,136,1,1,IND12188
0.75,0.85,5,240,1,0,IND12244
0.37,0.56,2,156,1,1,IND26251
0.11,0.85,6,305,1,2,IND15398
0.45,0.45,2,154,1,1,IND05168
0.87,1.0,5,261,1,0,IND21695
0.11,0.94,7,244,1,2,IND30407
0.45,0.54,2,129,1,1,IND08180
0.81,0.87,4,254,1,0,IND34994
0.77,0.91,5,236,1,0,IND06513
0.89,0.92,5,237,1,0,IND13049
0.43,0.49,2,135,1,1,IND24284
0.78,1.0,5,236,1,0,IND40912
0.37,0.47,2,149,1,1,IND41986
0.37,0.5,2,141,1,1,IND16256
0.85,0.82,4,270,1,0,IND01894
0.41,0.47,2,138,1,1,IND22318
0.11,0.96,6,298,1,2,IND24444
0.75,0.99,5,254,1,0,IND19246
0.82,0.85,5,248,1,0,IND43133
0.79,1.0,5,257,1,0,IND16492
0.43,0.53,2,150,1,1,IND13801
0.1,0.9,7,281,1,2,IND22374
0.46,0.48,2,141,1,1,IND23319
0.43,0.57,2,157,1,1,IND07666
0.43,0.55,2,136,1,1,IND05958
0.11,0.8,7,296,1,2,IND42430
0.09,0.86,6,279,1,2,IND11284
0.37,0.53,2,131,1,1,IND32630
0.4,0.57,2,160,1,1,IND18923
0.1,0.77,7,291,1,2,IND38865
0.41,0.53,2,157,1,1,IND07753
0.79,0.58,3,294,1,0,IND37573
0.11,0.79,7,310,1,2,IND22209
0.1,0.97,6,282,1,2,IND34918
0.44,0.51,2,134,1,1,IND41921
0.25,0.46,4,214,1,1,IND32081
0.44,0.52,2,137,1,1,IND03208
0.73,1.0,4,252,1,0,IND16461
0.75,0.97,5,243,1,0,IND25142
0.36,0.47,2,148,1,1,IND20951
0.37,0.49,2,151,1,1,IND35726
0.39,0.49,2,129,1,1,IND21419
0.48,0.78,2,198,1,1,IND38340
0.57,0.72,4,275,1,0,IND19201
0.9,0.96,5,243,1,0,IND10739
0.39,0.55,2,159,1,1,IND16087
0.44,0.51,2,145,1,1,IND27416
0.81,0.88,5,242,1,0,IND42741
0.74,0.87,5,242,1,0,IND13319
0.44,0.56,2,145,1,1,IND35549
0.41,0.56,2,154,1,1,IND03706
0.4,0.51,2,139,1,1,IND07325
0.46,0.57,2,152,1,1,IND24154
0.8,0.83,2,211,1,0,IND24839
0.87,0.9,5,258,1,0,IND02151
0.39,0.54,2,155,1,1,IND33393
0.38,0.55,2,148,1,1,IND19940
0.66,0.67,2,255,1,0,IND20079
0.1,0.8,6,264,1,2,IND28297
0.37,0.54,2,132,1,1,IND27128
0.1,0.77,6,255,1,2,IND31349
0.09,0.87,5,263,1,2,IND30700
0.86,0.84,5,222,1,0,IND16587
0.11,0.9,6,263,1,2,IND17677
0.37,0.46,2,157,1,1,IND43324
0.11,0.92,7,307,1,2,IND05241
0.77,0.98,5,259,1,0,IND11317
0.84,0.94,5,222,1,0,IND14551
0.1,0.84,7,250,1,2,IND21230
0.83,0.9,5,245,1,0,IND17743
0.11,0.79,6,292,1,2,IND32407
0.86,0.92,5,252,1,0,IND32944
0.38,0.56,2,161,1,1,IND12205
0.11,0.88,5,250,1,2,IND10813
0.45,0.49,2,134,1,1,IND03680
0.1,0.85,7,279,1,2,IND20607
0.09,0.95,7,256,1,2,IND42900
0.39,0.53,2,127,1,1,IND02098
0.37,0.47,2,138,1,1,IND14635
0.81,0.97,5,243,1,0,IND37664
0.09,0.9,7,296,1,2,IND40998
0.1,0.88,7,267,1,2,IND04086
0.39,0.49,2,144,1,1,IND04143
0.83,0.95,4,251,1,0,IND10847
0.45,0.57,2,148,1,1,IND29768
0.43,0.51,2,141,1,1,IND31261
0.8,0.75,3,268,1,0,IND08542
0.1,0.86,6,247,1,2,IND21159
0.1,0.55,2,247,1,1,IND31162
0.36,0.52,2,146,1,1,IND31717
0.38,0.5,2,140,1,1,IND38105
0.78,0.98,5,263,1,0,IND23662
0.44,0.49,2,145,1,1,IND34816
0.41,0.46,2,156,1,1,IND40837
0.72,0.85,5,244,1,0,IND12932
0.46,0.54,2,144,1,1,IND27664
0.1,0.9,7,286,1,2,IND36381
0.34,0.67,4,141,1,1,IND02182
0.11,0.89,6,260,1,2,IND20126
0.38,0.56,2,154,1,1,IND26713
0.82,0.92,5,225,1,0,IND20093
0.39,0.57,2,127,1,1,IND08930
0.44,0.53,2,140,1,1,IND04848
0.43,0.52,2,147,1,1,IND08979
0.84,0.83,4,227,1,0,IND21075
0.43,0.48,2,153,1,1,IND34888
0.37,0.52,2,128,1,1,IND41175
0.74,0.97,4,228,1,0,IND26403
0.73,0.97,5,235,1,0,IND32796
0.37,0.47,2,148,1,1,IND10497
0.58,0.62,4,238,1,0,IND20374
0.4,0.54,2,141,1,1,IND07668
0.51,0.83,5,249,1,2,IND17972
0.46,0.5,2,151,1,1,IND0921
0.45,0.54,2,129,1,1,IND43921
0.46,0.5,2,156,1,1,IND09833
0.39,0.45,2,134,1,1,IND22192
0.09,0.88,6,269,1,2,IND32249
0.09,0.77,6,290,1,2,IND34388
0.37,0.51,2,132,1,1,IND01733
0.1,0.89,7,308,1,2,IND03272
0.77,1.0,4,232,1,0,IND04269
0.79,0.86,5,235,1,0,IND02615
0.43,0.55,2,130,1,1,IND43208
0.38,0.53,2,146,1,1,IND35622
0.77,0.91,5,221,1,0,IND41956
0.44,0.5,2,130,1,1,IND18926
0.39,0.46,2,136,1,1,IND13053
